# old_va new_va source_file:line | old_pattern -> new_pattern
# UNVERIFIED machine output: each line is a hypothesis, not a result.
006078E0 0060DC40 EntityFamiliar.zhl:15 | 558bec83e4f883ec0c53568bf1578b86 -> 558bec83e4f883ec0c53568bf1578b86300300008b88d800
0060E2C0 00614B10 EntityFamiliar.zhl:24 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec305657a1????????33c5508d45??64a3????????8bf1 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec305657a1b4????0033c5508d45f464a3000000008bf18b8e100400
00648AE0 0064CA30 EntityFamiliar.zhl:34 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505381ec88000000a1????????33c58945??5657508d45??64a3????????8bf18975??33c08945??8b0d -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505381ec88000000a1b4????0033c58945ec5657508d45f464a3000000008bf189759c33
006334A0 00639750 EntityFamiliar.zhl:37 | 558bec83e4f081ec48010000a1 -> 558bec83e4f081ec??010000a1b4????0033c4898424??010000807d0c000f57
00607780 0060DAE0 EntityFamiliar.zhl:55 | 8b41??3d84030000 -> 8b412c3d84030000774e744983e80c3de700000077420fb6
00956830 0097E3C0 EntityLaser.zhl:4 | 558bec83ec60a1????????33c58945??538bd9 -> 558bec83ec60a1b4????0033c58945f8538bd9f30f1155??
00416820 0041AF60 EntityList.zhl:7 | 558bec6aff68????????64a1????????5083ec24535657a1????????33c5508d45??64a3????????8bf18b5d -> 558bec6aff68??????0064a1000000005083ec??535657a1b4????0033c5508d45f464a3000000008bf1????0c????????????00????????????00
004150C0 00419750 EntityList.zhl:16 | 558bec83ec14833d????????00 -> 558bec83ec14833d??????00005356578bd975??8b435833
006C9510 006CD410 EntityNPC.zhl:16 | 558bec6aff68????????64a1????????5081ec68010000a1????????33c58945??5657508d45??64a3????????8bf989bd????????ff75 -> 558bec6aff68??????0064a1000000005081ec??010000a1b4????0033c58945f05657508d45f464a3000000008bf989bd??feffffff750c8b
004D2FC0 004D8D10 EntityNPC.zhl:61 | 558bec83ec1ca1????????53 -> 558bec83ec1ca1??????005356578b80008301008bf1f30f
006D7030 006D97E0 EntityNPC.zhl:82 | 558bec6aff68????????64a1????????5081ecf0000000 -> 558bec6aff68??????0064a1000000005081ec??000000535657a1b4????0033c5508d45f464a3000000000f28c1f30f
006B6800 006BA840 EntityNPC.zhl:88 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec40a1????????33c58945??5657508d45??64a3????????8bf18b43 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec40a1b4????0033c58945ec5657508d45f464a3000000008b??8b43088945b8
004C8B60 004CEE90 EntityNPC.zhl:105 | 538bdc83ec0883e4f083c404558b6b??896c24??8bec81ec88000000 -> 538bdc83ec0883e4f083c404558b6b04896c24048bec81ec88000000a1b4????0033
006E5690 006E8AE0 EntityPickup.zhl:22 | 558bec6aff68????????64a1????????5081eca8010000a1????????33c58945??5657508d45??64a3????????8bf1 -> 558bec6aff68??????0064a1000000005081ec??010000a1b4????0033c58945f05657508d45f464a3000000008bf189b5??ffffff837e2c648b7d0889
006DEC30 006E1910 EntityPickup.zhl:25 | 558bec83ec1456578bf9837f??64 -> 558bec83ec??56578bf9837f2c640f85??01000083bfc005
006EAD70 006EE750 EntityPickup.zhl:55 | 558bec6aff68????????64a1????????5083ec24535657a1????????33c5508d45??64a3????????8bd98b83 -> 558bec6aff68??????0064a1000000005083ec??535657a1b4????0033c5508d45f464a3000000008bd98b832805000085c00f
006E4FF0 006E83A0 EntityPickup.zhl:68 | 558bec83e4f883ec28568b75??578bb9 -> 558bec83e4f883ec28568b750857????????0000????????
006DF1A0 006E1E90 EntityPickup.zhl:75 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec48a1????????33c58945??5657508d45??64a3????????8bfa -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec48a1b4????0033c58945ec5657508d45f464a3000000008b??89??b48b??89????8b??0889
006DD7C0 006E02F0 EntityPickup.zhl:97 | 558bec6aff68????????64a1????????5083ec74a1????????33c58945??5657508d45??64a3????????8bf9897d??8b45 -> 558bec6aff68??????0064a1000000005083ec??a1b4????0033c58945f05657508d45f464a3000000008bf9897d??8b45??8d8f5805
0074DC70 00753DA0 EntityPlayer.zhl:8 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec085657a1????????33c5508d45??64a3????????8bf9 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec085657a1b4????0033c5508d45f464a3000000008bf9897dece8??
0074F260 00754ED0 EntityPlayer.zhl:11 | 558bec6aff68????????64a1????????5051535657a1????????33c5508d45??64a3????????8bf98b8f -> 558bec6aff68??????0064a1000000005051535657a1b4????0033c5508d45f464a3000000008b??8b????1e00008d????
007C0190 007C9EA0 EntityPlayer.zhl:14 | 558bec83e4f8a1????????83ec1483b8????????02 -> 558bec83e4f8a1??????0083ec1483b8????0200025356578bf97d2d8bb74413
